id, brewery_name, address, website
1, Jester King Brewery, 13005 Fitzhugh Road Bld B Austin, jesterkingbrewery.com
2, (512) Brewing Company, 407 Radam Ln Austin, 512brewing.com
3, Oddwood Ales, 3108 Manor Rd Austin, oddwoodales.com
4, Pinthouse Pizza Craft Brewpub, 4729 Burnet Rd Austin, pinthousepizza.com
5, Southern Heights Brewing Company, 6014 Techni Center Dr Ste 2-101 Austin, southernheightsbrewing.com
6, Austin Beerworks, 3009 Industrial Terrace Suite 150 Austin, austinbeerworks.com
7, Hops & Grain Brewing, 507 Calles St Austin, hopsandgrain.com
8, St. Elmo Brewing Co., 440 E St Elmo Rd Ste G-2 Austin, stelmobrewing.com
9, Draught House Pub & Brewery, 4112 Medical Parkway Austin, draughthouse.com
10, Oasis Texas Brewing Company, 6550 Comanche Trail Austin, otxbc.com
11, Last Stand Brewing Company, 12345 Pauls Valley Rd Austin, laststandbrewing.com
12, Adelbert's Brewery, 2314 Rutland Drive Suite #100 Austin, adelbertsbeer.com
13, Skull Mechanix Brewing, 1005 E St Elmo Rd Bldg 2 Austin, skullmechanix.com
14, Lazarus Brewing Company, 1902 E 6th St Austin, lazarusbrewing.com
15, Blue Owl Brewing, 2400 East Cesar Chavez St #300 Austin, blueowlbrewing.com
16, The Brewer's Table, 4715 E 5th St Austin, thebrewerstable.com
17, Austin Beer Garden Brewing Co, 1305 W Oltorf St Austin, theabgb.com
18, Zilker Brewing Co, 1701 E 6th St Austin, zilkerbeer.com
19, Kamala Brewing Whip In, 1950 S Interstate 35 Austin, whipin.com
20, Celis Brewery, 10001 Metric Blvd Austin, celisbeers.com
21, North by Northwest Restaurant & Brewery, 10010 Capital Of TX Hwy N Austin, nxnwbrew.com
22, Black Star Co-op Pub & Brewery, 7020 Easy Wind Drive Suite 100 Austin, blackstar.coop
23, The Brewtorium, 6015 Dillard Cir A Austin, thebrewtorium.com
24, Friends & Allies Brewing, 979 Springdale Rd Austin, friendsandallies.beer
25, Hi Sign Brewing, 1201 Bastrop Hwy Austin, hisignbrewing.com
26, Independence Brewing Co, 3913 Todd Ln Austin, independencebrewing.com
27, Uncle Billy's Brew & Que, 1530 Barton Springs Rd Austin, unclebillysaustin.com
28, 4th Tap Brewing Co-op, 10615 Metric Blvd Austin, 4thtap.coop
29, Infamous Brewing Company, 4601 Weletka Dr Ste 200 Austin
30, Nomadic Beerworks, 3804 Woodbury Dr Ste A Austin, infamousbrewing.com
31, Circle Brewing Company, 2340 W Braker Ln Suite B Austin, nomadicbeerworks.com
32, Orf Brewing, 4700 Burleson Rd Austin, orfbrewing.com